,0
TEMP_i_o2,958051.37890625
TEMP_i_d8,949922.2014160156
anom_O3_i,944611.5500488281
CO_i_o-3,930167.3120117188
PRES_i_o0,926198.8818359375
TEMP_i_o-3,903904.3916015625
WSPM_i_rm12,900527.9216308594
O3_i_d8,885158.6982421875
PM10_i_o3,884897.1228027344
net_TEMP_i_d1,875519.0380859375
O3_i_o1,872779.6323242188
NO2_i_rm12,869946.1652832031
wv_i_o-1,867032.5090332031
SO2_i_o-2,867014.5307617188
PRES_i_o-1,863695.9504394531
CO_i_d1,861513.4038085938
NO2_i_rs12,859243.6684570312
wd_h,835634.0222167969
O3_i_vs_rm24,822900.2595214844
SO2_i_o-6,818671.62890625
NO2_i_d8,817031.6181640625
NO2_i_o1,814571.0983886719
ratio_O3_i,809925.1520996094
SO2_i_o2,799281.0622558594
net_TEMP_i,787566.8984375
net_SO2_i_d1,770546.9401855469
TEMP_i_dfwd3,768099.7678222656
DEWP_i_d8,751852.1584472656
SO2_i_rs12,725033.0061035156
PRES_i_d8,716841.9416503906
CO_i_o-8,704781.490234375
CO_i_o2,695906.412109375
NO2_i_vs_rm24,692852.5466308594
O3_i_o-8,691714.6696777344
NO2_i_dfwd3,684151.0588378906
PM10_i_o-8,668425.9533691406
NO2_i_o-1,663582.8664550781
TEMP_i_rm6,658562.609375
net_SO2_i_d6,638439.4567871094
net_WSPM_i_d6,607903.3256835938
wv_i_o-8,606251.2153320312
wv_i_o-4,599045.6516113281
O3_i_d1,596748.3686523438
NO2_i_rm6,595326.4873046875
WSPM_i_rmin12,529093.4697265625
SO2_i_dfwd3,528580.779296875
PRES_i_o1,518475.9802246094
NO2_i_o3,512730.5500488281
wv_i_o-6,512019.0583496094
NO2_i_o2,511035.1843261719
NO2_i_d1,508466.861328125
SO2_i_dfwd,505333.47802734375
TEMP_i_o-2,505296.2099609375
NO2_i_o-8,498258.3046875
wv_i_o0,490504.7937011719
CO_i_o3,478383.3430175781
n_missing_h,468960.85498046875
SO2_i_o-3,459881.7919921875
NO2_i_o-6,453624.8474121094
SO2_i_o-4,451324.8720703125
raw_WSPM,448159.15380859375
RAIN_i_o-8,438547.8525390625
DEWP_i_dfwd3,408351.0988769531
O3_i_dfwd3,402157.88037109375
PM10_i_o-4,401865.92236328125
O3_i_dfwd,397183.27099609375
wv_i_o2,388219.4326171875
DEWP_i_dfwd,382600.49267578125
wu_i_o-4,377160.626953125
hr_cos,370125.38330078125
net_NO2_i_d1,367327.7109375
PM10_i_o-6,352975.2424316406
wu_i_o-6,348540.54736328125
raw_RAIN,337416.6989746094
WSPM_i_vs_rm24,330108.92236328125
RAIN_i_o-6,313886.6533203125
PRES_i_dfwd3,309567.8112792969
pres_trend,307338.806640625
net_WSPM_i_d1,288045.28759765625
TEMP_i_dfwd,285544.02978515625
TEMP_i_d1,285006.01904296875
WSPM_i_o-2,278997.34716796875
